
Equipo         : CLASIFICADOR_ESPIRAS_02 
Lugar          : -34.8907, -57.9107      
Descripcion    : Tiro Federal sentido LP 
Fecha Inicio   : 16/12/24 12:51:33       
Archivo        : REG03322.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : LP lenta                
        VIA 2  : LP rapida               
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
13:03:05 1 0 1 060 0435 0.97
13:03:07 1 0 2 072 0472 1.00
13:03:08 1 0 2 072 0463 0.97
13:03:09 1 0 2 072 0465 1.08
13:03:14 1 0 1 077 0498 1.17
13:03:30 1 0 1 050 0118 0.07
13:03:37 1 0 2 073 0439 1.00
13:03:38 1 0 1 057 0434 1.14
13:03:38 1 0 2 073 0499 1.16
13:03:39 1 0 1 062 0341 0.23
13:03:41 1 0 2 082 0751 0.45
13:03:44 1 0 2 083 0460 1.05
13:03:48 1 0 2 081 0474 1.01
13:03:50 1 0 1 080 0397 0.42
13:03:58 1 0 1 080 0485 0.53
13:04:00 1 0 2 087 0481 0.48
13:04:14 1 0 1 067 0442 0.99
13:04:19 1 0 2 110 0667 0.97
13:04:27 1 0 1 069 0586 0.89
13:04:29 1 0 2 082 0491 1.19
13:04:42 1 0 1 067 0454 1.06
13:04:51 1 0 2 090 0504 0.95
13:04:55 1 0 2 092 0460 1.12
13:04:59 1 0 1 059 0582 0.67
13:05:05 1 0 2 080 0477 1.06
13:05:06 1 0 2 084 0329 0.14
13:05:06 1 0 1 083 0360 0.21
13:05:13 1 0 1 064 0474 1.25
13:05:14 1 0 2 086 0479 1.05
13:05:18 1 0 1 058 0612 1.04
13:05:18 1 0 2 068 0496 1.09
13:05:19 1 0 1 058 0459 1.15
13:05:26 1 0 1 060 0460 1.15
13:05:35 1 0 2 062 0467 0.88
13:05:54 1 0 2 082 0541 1.33
13:05:55 1 0 1 082 0478 0.47
13:05:56 1 0 2 076 0511 1.19
13:05:57 1 0 1 057 0574 0.82
13:05:58 1 0 1 058 0522 1.29
13:05:59 1 0 2 072 0475 1.03
13:06:02 1 0 2 082 0473 1.20
13:06:03 1 0 2 080 0361 0.18
13:06:03 1 0 1 081 0275 0.08
13:06:04 1 0 1 065 0445 1.10
13:06:15 1 0 1 063 0450 1.00
13:06:26 1 0 2 086 0536 0.99
13:06:33 1 0 2 081 0505 1.04
13:06:38 1 0 1 069 0508 1.13
13:06:40 1 0 2 086 0517 1.04
13:06:41 1 0 1 051 0502 1.29
13:06:43 1 0 2 069 0515 1.09
13:06:43 1 0 1 063 0485 1.11
13:06:52 1 0 2 071 0453 1.10
13:06:53 1 0 1 059 0480 1.23
13:06:53 1 3 2 000 0000 0.06
13:07:01 1 0 2 100 0521 1.14
13:07:04 1 0 2 078 0503 1.12
13:07:08 1 0 2 085 0508 0.60
13:07:11 1 0 1 058 0461 0.86
13:07:15 1 0 2 080 0525 1.19
13:07:17 1 0 2 081 0470 0.85
13:07:24 1 0 2 076 0573 0.66
13:07:26 1 0 1 049 0629 1.23
13:07:26 1 0 2 061 0439 0.76
13:07:27 1 0 2 079 0495 1.05
13:07:38 1 0 2 078 0497 1.32
13:07:39 1 0 2 074 0465 0.97
13:07:47 1 0 2 103 0489 0.63
13:07:49 1 0 2 078 0430 0.69
